,Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
124217,9.32e+17,2,6/8/2022,Host,2,Vomero,2,1,Entire home,3,112.0,2,4.0,4.0,5.0,5.0,4.5,5.0,4.0,0.44,Napoli,Early Winter,1,private,"40.84729818624768, 14.235201267783102",12/15/2024
236826,42581728.0,2,6/5/2016,Host,19,X Ostia/Acilia,2,1,Entire home,3,90.0,8,5.0,5.0,5.0,4.88,5.0,4.75,4.88,0.16,Roma,Early Autumn,1,private,"41.73613, 12.27201",9/15/2024
235584,37003936.0,1,7/17/2019,Host,7,I Centro Storico,1,1,Hotel room,2,1462.0,8,5.0,4.88,5.0,5.0,5.0,5.0,4.88,0.13,Roma,Early Autumn,1,private,"41.90181, 12.4808",9/15/2024
261014,4523238.0,7,10/2/2012,Host,83,Cannaregio,3,2,Entire home,6,277.0,88,4.72,4.8,4.89,4.86,4.64,4.87,4.7,0.89,Venezia,Early Spring,2,private,"45.44287, 12.32385",3/15/2024
216081,7.77e+17,49,12/7/2022,Superhost,1,V Prenestino/Centocelle,4,1,Entire home,7,129.0,70,4.76,4.81,4.77,4.9,4.99,4.61,4.71,3.9,Roma,Early Summer,1,private,"41.8895788, 12.5248031",6/15/2024
171877,9.65e+17,4,4/8/2018,Host,4,VIII Appia Antica,1,1,Private room,2,118.0,4,5.0,5.0,4.5,5.0,5.0,4.75,4.75,1.36,Roma,Early Winter,1,shared,"41.86436, 12.49816",12/15/2024
267284,51139574.0,12,7/19/2021,Superhost,1,Dorsoduro,4,1,Entire home,4,250.0,29,4.93,4.93,4.97,4.9,5.0,5.0,4.83,0.91,Venezia,Early Spring,2,private,"45.43097, 12.32257",3/15/2024
49112,41521096.0,11,9/28/2014,Host,2,DUOMO,2,1,Entire home,2,453.0,49,4.8,4.9,4.69,4.96,4.9,4.88,4.61,1.04,Milano,Early Winter,2,private,"45.46478271484375, 9.176513671875",12/15/2024
177111,10508778.0,9,2/22/2014,Host,4,II Parioli/Nomentano,1,1,Private room,2,120.0,129,4.62,4.77,4.57,4.78,4.81,4.54,4.57,1.3,Roma,Early Spring,1,private,"41.89346, 12.51549",3/15/2024
93866,1e+18,20,10/15/2023,Host,4,SARPI,2,1,Entire home,4,140.0,20,4.5,4.58,4.42,4.63,4.58,4.58,4.47,2.41,Milano,Early Summer,1,private,"45.4789398, 9.1741915",6/15/2024
137623,8.7e+17,0,4/12/2023,Host,1,Stella,3,2,Entire home,4,106.0,2,4.0,4.0,4.5,4.0,4.5,3.5,4.5,0.14,Napoli,Early Summer,1,private,"40.860175894278576, 14.250377006828783",6/15/2024
140492,6040847.0,41,5/20/2017,Superhost,3,San Lorenzo,2,0,Entire home,4,95.0,260,4.91,4.92,4.92,4.93,4.97,4.87,4.89,2.3,Napoli,Early Autumn,0,private,"40.85265, 14.25997",9/15/2024
48969,40799058.0,0,11/27/2019,Host,6,DUOMO,2,1,Entire home,2,277.0,8,4.88,4.88,4.88,4.88,4.75,5.0,4.75,0.23,Milano,Early Winter,1,private,"45.4652, 9.19533",12/15/2024
78339,9.69e+17,16,3/11/2023,Superhost,5,TIBALDI,1,1,Entire home,2,69.0,16,4.75,4.94,4.81,5.0,5.0,4.63,4.88,2.46,Milano,Early Spring,1,private,"45.44069, 9.17988",3/15/2024
49392,43247035.0,0,4/26/2014,Host,158,LORETO,2,1,Entire home,4,65.0,9,3.78,4.0,4.44,4.67,4.22,3.67,3.33,0.23,Milano,Early Winter,1,private,"45.48707, 9.22721",12/15/2024
